ObjectName,ID,Name,ClassName,CssSelector,CssSelector2,CssSelector3,LinkText,PartialLinkText,TagName,XPath,ithInMultiple,ContainsText,AttributeKey1,AttributeValue1,AttributeKey2,AttributeValue2,IsParent,Value,SQL,UserDefinedWaitTime,ThreadSleepWaitTime,ReferenceDataID,UnUseColumn1,UnUseColumn2,UnUseColumn3,Child_ID,Child_Name,Child_ClassName,Child_CssSelector,Child_CssSelector2,Child_CssSelector3,LinkText8,Child_PartialLinkText,Child_TagName,Child_Xpath,Child_ithInMultiple,Child_ContainsText,Child_AttributeKey1,Child_AttributeValue1,Child_AttributeKey2,Child_AttributeValue2,Child_Value,Child_SQL,Child_UserDefinedWaitTime,Child_ThreadSleepWaitTime,Child_ReferenceDataID,Child_UnUseColumn1,Child_UnUseColumn2,Child_UnUseColumn3
papCCYear_WS,,,,select[id='ccYear'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCCCVV_WS,,,,input[id='payCCV'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCreateAccNextBtn_WS,,,,button[class='button continue'],,,,,,,,Next Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCreateAccPwd_WS,,,,input[id='password'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCreateAccPwd2_WS,,,,input[id='password2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCreateAccPwdHint_WS,,,,input[id='passwordHint'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagCheckOutBtn_WS,,,,a[id='jsEnterQuickCheckout'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpBreadCrumbLink_WS,,,,,,,,,a,,,breadcrumbName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpRefine_WS,,,,,,,,,a,,1,Filter By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpRefineDesigner_WS,,,,,,,,,a,,1,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpDesignerSel_WS,,,,,,,,,label,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpSortByCategory_WS,,,,,,,,,a,,,Sort By:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
removeItem_WS,,,,div[class='item jsItemRoot'],,,,,,,1,upc passed in the method,,,,,1,,,,,,,,,,,jsRemoveItem,div[class='item-edit jsEditItem item-trigger-layer'],,,,,,,,,,,,,,,,,,,,
rsMakeGiftBtn_WS,,,,div[class='item jsItemRoot'],,,,,,,1,upc passed in the method,,,,,1,,,,,,,,,,,,div[class='item-gift item-trigger-layer'],,,,,,,,,,,,,,,,,,,,
bagMakeGiftBtn_WS,,,,div[class='item jsItemRoot'],,,,,,,1,upc passed in the method,,,,,1,,,,,,,,,,,,div[class='item-gift item-trigger-layer'],,,,,,,,,,,,,,,,,,,,
bagCheckOutBottomBtn_WS,,,,div[class='button-row'],,,,,,,,,,,,,1,,,,,,,,,,,,a[id='jsStartCheckout'],,,,,,,,,,,,,,,,,,,,
bagUpdateQty_WS,,,,div[class='item jsItemRoot'],,,,,,,1,upc passed in the method,,,,,1,,,,,,,,,,,,div[class='item-edit jsEditItem item-trigger-layer'],,,,,,,,,,,,,,,,,,,,
rspItems_WS,,,,div[id='items'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspGiftCardLayer_WS,,,,div[id='gift-card-layer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confGiftWrapMsg_WS,,,,div[class='item jsItemRoot'],,,,,,,1,sku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homePageNavLinksSec_WS,,,,nav[class='main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pplLoginBox_WS,,,,div[id='loginModule'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closeHomePageOverlay_vm,close-button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpSizeSwatchLink,,,,div.size.selector.component.component-3.clearfix.js-size-selector.has-select-picker,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
HomePagePromo_WS,,,,div[id='saks-bag'],div[id='promo-slider'],,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpValidateBreadCrumb_wk,,,,nav[class='breadcrumbs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secClickByTextTemplate_wk,,,,nav[class='categories'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
prpSortByLinkTemplate_wk,,,,ul[id='sort-menu'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
loginOverlayCheckoutAsGuestBtn_wk,jsCheckoutEnhancementsGuestCheckout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpProdDescription_WS,,,product-overview__brand-link,,,,,,h1,,,,itemprop,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpSPD_WS,,,product-overview__short-description,,,,,,h2,,,,itemprop,shortDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPrice_WS,,,product-pricing,div[class='product-offer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpProductCode_WS,,,product-code,h4[class='product-overview__product-code'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpBreadCrumb_WS,,,,nav[class='breadcrumbs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confCancelOrder_WS,,,,,,,,,a,,,Cancel Orders Placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpColorSizeDropdown_wk,,ADD_CART_ITEM_ARRAY<>sku_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpSection,product-array,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navSaleDrawerValidation,,,,,,,,SALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navSection,,,,nav[class='main'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,
prpFirstItem,,,sfa-pa-product-with-swatches,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpColorSizeDrpDwn_vm,,ADD_CART_ITEM_ARRAY<>sku_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpShortDescription_vm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagUpdateSizeDrpdwn,edit_item_service,,,,,,,,,,,,,,,,1,,,,,,,,,sku_id,,,,,,,,,,,,,,,,,,,,,,,
bagShipMethodDrpDwn,selectShipMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagShipMethodZipCode,bagZip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amountEstimated,jsVal-itemsTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancelOrder,,,,,,,,Cancel Orders Placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loginSignCheckOutBtn_wk,jsQuickCheckout,,button continue,button[id='jsQuickCheckout'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loginOverlayInvalidEmail_WS,,,,div[class='errorMsgPage jsResponseError genericMsg'],,,,,,,,The email address or password you have entered is not valid. Please check both and try again or click on Forgot Password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shippingBillingEmailError_wk,,,,div[id='shipEmail-wrap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shippingBillingPhoneError_wk,,,,div[id='shipPhone-wrap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shippingBillingEmailTxt_wk,,,,input[id='shipEmail'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shippingEmailTxt_wk,,,,div[id='shipEmail-wrap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shippingBillingError_WS,,,,div[class='errorMsgPage jsResponseError'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shippingBillingPhoneTxt_wk,,,,input[id='shipPhone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papSkipButton_WS,,,,div[id='jsAccountSkip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papPasswordWrap_WS,password-wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papConfPasswordWrap_WS,password2-wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confPasswordTxt_wk,,,,input[id='password'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confVerifyPasswordTxt_wk,,,,input[id='password2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confCreateAccountBtn_wk,,,,a[id='jsReceiptAccountRegistration'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confAccountCreationBox_wk,receipt-account-registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspEditShippingAddress_WS,,,,a[class='jsChangeShipAddress module-head-link edit button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspCreateNewShipAddress_WS,,,,div[id='address-book-shipping-create'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagCheckout_WS,,,,a[id='jsEnterCheckout'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspAddressLevelShippingMethod_WS,address-level-shipping,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspItemRow_WS,,,,div[class='item jsItemRoot'],,,,,,,1,upc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspShippingMethodToolTip,,,,div[class='tooltip restricted-shipping-trigger'],,,,,,,1,upc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searchPredictBox_wk,,,,div[class='awesomplete'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspDropshipShpRestrictMsg_WS,,,,div[class='errorMsgPage'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspTotalShippingCost_WS,jsVal-shippingCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspShippingMethodName_WS,,,,span[class='shipping-method-name'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searchDropdownFirstItem_wk,,,,div[class='awesomplete'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,1,,,,,,,,,,,,,
searchCancelBtn_wk,,,,button[name='cancel'],,,,,,,,,type,reset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needHelp_WS,,,,,,,,,a,,,Need Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storesBtn_WS,,,,a[class='stores'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShopAll_WS,,,,,,,,,a,,,Shop All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpProductDetailFirstItem_WS,,,,div[class='product-detail'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homePromo_WS,,,,div[id='arrowDiv'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpqty_WS,,ADD_CART_ITEM_ARRAY<>qtyToBuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagImage_WS,,,,,,,,,img,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpFilterBy_WS,,,,,,,,,a,,1,Filter By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpDesigner_WS,,,,,,,,,a,,1,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpDesignerName_WS,,,sfa-pa-selection-label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpRefineDesignerApplyBtn_WS,,,,a[class='apply'],,,,,,,1,Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpSwatchesSection_WS,,,product-colorization,div[class='product-color-options'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpFinalSaleTxt_WS,,,,div[class='sfa-no-return '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRecSection_wk,,,,section[class='product-recs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRecDots_wk,,,,section[class='product-recs'],,,,,,,,,,,,,1,,,,,,,,,,,,ul[class='slick-dots'],,,,,,,,,,,,,,,,,,,,
pdpRecLeftDot_wk,,,,section[class='product-recs'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,1,,,,,,,,,,,,,
pdpRecRightDot_wk,,,,section[class='product-recs'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,li,,2,,,,,,,,,,,,,
pdpRecActive1_wk,,,,article[class='slick-slide slick-active'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRecActive2_wk,,,,article[class='slick-slide slick-active'],,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRecActive3_wk,,,,article[class='slick-slide slick-active'],,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpItem_WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpColorSwatchesLink_WS,,,,div[class='product-additional-info'],,,,,,,1,,,,,,1,,,,,,,,,,,,div[class='sfa-pa-product-swatches-thumbnails-container'],,,,,,,,,,,,,,,,,,,,
pdpProductOffer_WS,,,,div[class='product-offer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpRecRRHeader_wk,,,,article[class='slick-slide slick-active'],,,,,,,1,,,,,,1,,,,,,,,,,,product-recs__product-header,,,,,,,,,,,,,,,,,,,,,
pdpRecRRDesc_wk,,,,article[class='slick-slide slick-active'],,,,,,,1,,,,,,1,,,,,,,,,,,product-recs__paragraph,,,,,,,,1,,,,,,,,,,,,,
