ObjectName,ID,Name,ClassName,CssSelector,CssSelector2,CssSelector3,LinkText,PartialLinkText,TagName,XPath,ithInMultiple,ContainsText,AttributeKey1,AttributeValue1,AttributeKey2,AttributeValue2,IsParent,Value,SQL,UserDefinedWaitTime,ThreadSleepWaitTime,ReferenceDataID,UnUseColumn1,UnUseColumn2,UnUseColumn3,Child_ID,Child_Name,Child_ClassName,Child_CssSelector,Child_CssSelector2,Child_CssSelector3,Child_LinkText,Child_PartialLinkText,Child_TagName,Child_XPath,Child_ithInMultiple,Child_ContainsText,Child_AttributeKey1,Child_AttributeValue1,Child_AttributeKey2,Child_AttributeValue2,Child_Value,Child_SQL,Child_UserDefinedWaitTime,Child_ThreadSleepWaitTime,Child_ReferenceDataID,Child_UnUseColumn1,Child_UnUseColumn2,Child_UnUseColumn3
rsShippingPhoneTxt,shipPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingAddressApplyBtn,jsUpdateShippingAddress,,,button[class='sfa-button large transactional'],,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsUseAddressBtn,jsUseEntered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditBillingBtn,,,,a[class='action-link jsEditBillAddress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEnterNewBillAddressRdBtn,,,,label[for='jsNewBillingAddress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingTitleDrpDwn,jsBillingTitleDropDown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingfirstNameTxt,,BILL_TO_ADDRESS<>firstName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillinglastNameTxt,,BILL_TO_ADDRESS<>lastName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingAddressTxt,,BILL_TO_ADDRESS<>address1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingCityTxt,,BILL_TO_ADDRESS<>city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingStateDrpDwn,,BILL_TO_ADDRESS<>state_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingZipCodeTxt,,BILL_TO_ADDRESS<>postal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingPhoneTxt,,BILL_TO_ADDRESS<>phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingAddressApplyBtn,jsUpdateBillingAddress,saveAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingAddressCntryDrpDwn,,BILL_TO_ADDRESS<>country_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditShippingMethodBtn,,,,a[class='jsEditStaticShipMethod action-link'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confCCInfotxt,,,,p[id='jsVal-creditCard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShipDefaultchkbox,makeDefault,,,input[id='makeDefault'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingDefaultchkbox,,,,input[name='BILL_TO_ADDRESS<>indDefaultBillTo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giftReceiptwindow,,,,div[class='modal-content'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPasswordInvalidMessage,,,errorMsg,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShipAddressAndItemsSection,,,widebag-freight-shipment-list,div[class='widebag-freight-shipment-list'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shconfirmAddressBody,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shUseAddressAsEnteredBtn,jsUseEntered,,,button[id='jsUseEntered'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingMethodStandardBtn,,,,span[class='radiobox-helper field-label'],,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingMethodNextBusDayBtn,,,,span[class='radiobox-helper field-label'],,,,,,,,Next Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingMethodSaturdayBtn,,,,span[class='radiobox-helper field-label'],,,,,,,,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagShipMethodDrpDwn,jsSelectShippingMethod,selectedMethodId,,select[id='jsSelectShippingMethod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagShipMethodZipCode,jsBagZipCode,,,input[id='jsBagZipCode'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confGCSummarysection,,,,div[class='gift-card-summary js-gift-card-summary'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsPaymentTypeEditBtn,,,payment-method-summary,a[class='action-link jsEditCreditCard'],,,,,,,,,,,,,1,,,,,,,,,,,,span[class='font-icon font-icon-pencil'],,,,,,,,,,,,,,,,,,,,
pdpVgcConfirmEmail,confirmEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpVgcDeliverDate,,ADD_CART_ITEM<>ATR_EGC_deliver_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsFreeShipTxt,jsVal-shippingCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsRemovebtn,,,,,,,Remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsRemoveConfirm,,,confirmation-overlay,div[class='blockUI blockMsg blockElement'],,,,,,,,,,,,,1,,,,,,,,,,,jsConfirm,span[class='action-link-text'],,,,,,,,,,,,,,,,,,,,
rsShippingMethodRushBtn,update_shipping_for_order_items_service,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,label,,2,,,,,,,,,,,,,
rsShippingMethodApplyBtn,,,,button[class='jsUpdateShippingMethod sfa-button large transactional'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingAddressLbl,jsVal-shippingAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsBillingAddressLbl,jsVal-billingAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPersonalizeAddtoBagBtn,,checkoutPers,,button[id='pers_checkout'],,,,,,,,,,,,,,,,,,,,,,,,,div[id='persAdd'],,,,,,,,,,,,,,,,,,,,
pdpPersonalizeSelectColorSize,,PERSONALIZE_ARRAY<>sku_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPersonalizeQuantity,,PERSONALIZE_ARRAY<>quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPersonalizeAddtoBagBtn2,pers_checkout,personalization_checkout,,button[id='personalization_checkout'],,,Add to Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPersonalizeTextBox,,,div[class='input-monogram'],div[class='input-monogram'],,,,,,,,,,,,,1,,,,,,,,,,persText-raw,input-text-value,,,,,,,,,,,,,,,,,,,,,
rsEditCCBtn,,,,div[id='add-edit-choice'],,,,,,,,,,,,,1,,,,,,,,,,,,div[id='editCreditCard-wrap'],,,,,,,,,,,,,,,,,,,,
rsEditCCName,payCCName,CREDIT_CARD<>cardholderName,,input[id='payCCName'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditCCCVV,payCCV,card_cvNumber,,input[id='payCCV'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditCCCApplyBtn,jsSaveCreditCard,,,button[id='jsSaveCreditCard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confPrintReceiptBtn,,,,span[class='font-icon-print'],,,Print Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confPrintReceiptPage,,,is-printable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveConfirm,,,,a[class='action-link jsConfirm'],,,,,,,,,,,,,1,,,,,,,,,,,,span[class='action-link-text'],,,,,,,,,,,,,,,,,,,,
pdpVegcAddToBag,,checkout_egc,,input[name='checkout_egc'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnForgotPasswordBtn,,,,,,,,Forgot Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnEmailTxt,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsOriginalItemPriceLbl,jsVal-itemsTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsAssociateDiscountPriceLbl,,,widebag-item-extended-price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingChargeLbl,jsVal-shippingCost,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conShippingChargeLbl,jsVal-shippingCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnContinueBtn,,email_reset_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpPreOrderDrpDwn,,ADD_CART_ITEM_ARRAY<>sku_id,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdpQuantityTxt,,ADD_CART_ITEM_ARRAY<>qtyToBuy,reskin-quantity-box,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conPreOrderLbl,,,widebag-item-list-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsGiftText,jsEditGiftCardLayer,,,,,,,,,,,,,,,,1,,,,,,,,,payGCNum,,,,,,,,,,,,,,,,,,,,,,,
rsPinText,jsEditGiftCardLayer,,,,,,,,,,,,,,,,1,,,,,,,,,payGCPIN,,,,,,,,,,,,,,,,,,,,,,,
rsApplyGiftBtn,jsEditGiftCardLayer,,,,,,,,,,,,,,,,1,,,,,,,,,,,,button[class='sfa-button small flat'],,,,,,,,,,,,,,,,,,,,
rsTtlBfrTaxPriceLbl,jsVal-totalBeforeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsTaxPriceLbl,jsVal-tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsGftDscntLbl,jsVal-summaryGiftCardTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsPyAmtLbl,jsVal-creditCardTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conMyAccountBtn,,,,a[class='account'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditShippingAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEnterNewShipAddRadio,,,,span[class='field-label radiobox-helper'],,,Enter a New Shipping Address,,,,2,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsContinueCheckOutBtn,jsCompleteMultiShip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingUseAddressAsEntered,jsUseEntered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPromoBox,add_promo_code_service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnPasswordRstLbl,forgot-password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippingAndBillingTab,,,,a[id='tab-shipbill'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shEditShippingAddressBtn,,,,a[class='action-link jsEditShipAddress'],,,,,,,,,,,,,1,,,,,,,,,,,,span[class='font-icon font-icon-pencil'],,,,,,,,,,,,,,,,,,,,
shAddressOverlay,,,,div[id='saksOverlay'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shEditBillingAddressBtn,,,,a[class='action-link jsEditBillAddress'],,,,,,,,,,,,,1,,,,,,,,,,,,span[class='font-icon font-icon-pencil'],,,,,,,,,,,,,,,,,,,,
confShippingAddressSection,,,,div[id='jsVal-shippingAddress'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confBillingAddressSection,,,,div[class='billing-address-summary'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspShipMultipleChkBx,shipMulti,shiptomult,,input[id='shipMulti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyPaymentType,payCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyMonth,ccMonth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyYear,ccYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pySecurityCode,payCCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyCreditCardNumber,payCCNum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyNameOnCard,payCCName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyCheckout,jsCompletePayment,,,button[id='jsContinue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyGiftCardNumTxt,payGCNum,,,input[id='payGCNum'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyGiftCardPinTxt,payGCPin,,,input[id='payGCPin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsGiftBtn,,,jsEditGiftCard,a[class='action-link jsEditGiftCard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glpYourAccountBtn,,,,a[class='account'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaCancelOrder,,cancelOrder,,input[name='cancelOrder'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typOrderDetailList,,,receipt-order-detail-list,ul[class='receipt-order-detail-list'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaOrderNumberTxt,,ORDER<>orderNum,,input[name='ORDER<>orderNum'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaOrderZipTxt,,ORDER<>zip,,input[name='ORDER<>zip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaViewOrderStatus,,,,input[name='viewOrderStatus'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shSendToMultipleCheckBox,,,,span[class='field-label checkbox-helper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confShippingMethodTxt,,,,dl[class='description-list'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsTaxtext,,,,dd[id='jsVal-tax'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confShipAddressAndItemsSection,,,,div[id='jsWideBag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditCCNewPayTypedropdown,,,,select[id='payCC'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditNewPayTypeDefaultPaychkbox,,,,span[class='field-label checkbox-helper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapLoginEmail,,,,input[name='LOGIN<>userid'],,,,,,,1,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapLoginPwd,,,,input[name='LOGIN<>password'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapSignInBtn,,,,input[name='signIn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapPaymentMethodBtn,,,,a[class='bigBlackLink'],,,,,,,,PAYMENT METHOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapPaymentMethodForm,,,,div[id='saksBody'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapRemoveCCBtn,,,,input[name='deleteCC'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapAccountBtn,,,,a[class='account'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapShippingAddressBookBtn,,,,a[class='bigBlackLink'],,,,,,,,SHIPPING ADDRESS BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yapBillingAddressBookBtn,,,,a[class='bigBlackLink'],,,,,,,,BILLING ADDRESS BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsShippindAddressDefaultchkbox,,,,span[class='field-label checkbox-helper'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsCVV,,,,input[id='reviewCC'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpClickRefineBtn_wk,,,,,,,Refine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpDdDesignerBtn_wk,,,,,,,,designer,,,,,,,,,1,,,,,,,,,,,,,,,,filter-categories,,,,,,,,,,,,,,,,
prpoDesignerSelectionBtn_wk,,refine-by-designer,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpoDesignerApplyBtn_wk,,refine-by-designer,,,,,,,,,,,,,,,1,,,,,,,,,,,Apply,,,,,,,,,,,,,,,,,,,,,
ccCustUsernameSearchTxt_wk,,USER_ACCOUNT_SEARCH<>userid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
